Iteration,PhiMean,PhiMax,PhiMin,AvgSteps,Loss,AdvVar,AvgCandsBefore,AvgFiltered,AvgAdded,AvgCandsAfter
1,0.6768314821234651,0.6915138548477874,0.6596599517571109,163.7,0.4511878803810653,1.8177,242.78,12.26,13.19,243.71
2,0.6822481502588583,0.694418519140102,0.6713671670698341,155.66,0.19089907879242674,1.8396,222.29,11.73,12.66,223.22
3,0.6969198936612148,0.71202361796954,0.6867583483409117,139.22,0.09117932098784617,1.866,174.54,11.28,12.19,175.45
4,0.7016405049839336,0.7105978546333166,0.6890608261266484,133.46,-0.47683854442503715,1.8118,164.58,11.26,12.17,165.49
5,0.7080261624834506,0.7182491661559516,0.6963047782361635,132.52,-0.16133016078836387,1.8037,151.55,10.97,11.88,152.46
6,0.709518345289214,0.7189399104069472,0.701237393695103,127.9,0.2657874393463135,1.8254,149.09,10.89,11.8,149.99
7,0.7108698999379753,0.7218888518010949,0.7036815611697883,129.86,-0.10449525417277107,1.8002,151.84,10.71,11.62,152.75
8,0.7099570562237547,0.7205073638121647,0.699847051427206,125.26,0.31254207152873276,1.8358,150.77,10.62,11.52,151.68
9,0.7083492179935837,0.7200911469087004,0.6973143244535642,126.58,-0.2239410036530059,1.8244,153.97,10.55,11.46,154.88
10,0.7093169669242008,0.7191701554396978,0.6993865543942189,127.04,-0.5701998245472518,1.6786,157.55,10.67,11.58,158.45
11,0.7102581491859294,0.7220748234564512,0.6982441691754118,128.92,-0.054741154333057165,1.8785,152.01,10.77,11.68,152.92
12,0.7101228343684308,0.7180631960397773,0.6981821810833602,126.8,0.12641985036432743,1.8284,151.39,10.75,11.65,152.29
13,0.7100291409549782,0.7200468715614071,0.7008211757655174,127.62,-0.004191371039129221,1.7451,151.77,10.83,11.74,152.67
14,0.7082158509664528,0.7171864831294458,0.698837502726847,126.98,0.0011967726796865462,1.8347,148.54,10.87,11.78,149.45
15,0.7066452066769203,0.7211006975789583,0.688556052289529,128.5,-0.26350091856259567,1.8422,155.75,10.95,11.86,156.66
16,0.7108443958033389,0.719949460348787,0.7026631584881651,126.06,-0.5979871755609145,1.8067,148.05,10.51,11.42,148.95
17,0.7118890125560773,0.722393626151275,0.7008654535957701,125.84,-0.00841699425990765,1.7836,157.32,10.38,11.29,158.23
18,0.7092981934929693,0.7235979994621334,0.6938074726285502,129.66,-0.12044439880320659,1.8344,176.39,10.4,11.31,177.29
19,0.7070685092121248,0.7170447940865733,0.6980493470478726,130.16,-0.08215068180400592,1.9089,193.64,10.5,11.41,194.55
20,0.7055350589056689,0.7151142553740492,0.696446469280606,135.58,-0.20062979686606144,1.8356,203.84,10.64,11.55,204.76
