Iteration,PhiMean,PhiMax,PhiMin,AvgSteps,Loss
1,0.6111598423827418,0.626363995667697,0.5945561843174467,45.6,-0.019705312699079512
2,0.6087016749381575,0.6269453892342576,0.5896800003862388,44.1,-0.09860933572053909
3,0.6131909665275918,0.6290730025813588,0.5940774006669053,44.2,-0.048419676907360557
4,0.6148664961707719,0.6339599976117618,0.5967486041095742,44.0,-0.044921573530882594
5,0.6193971838241181,0.6442416059313307,0.6042653957745561,42.8,-0.09247791357338428
6,0.6312131952495943,0.6630120149345406,0.6049475932691585,40.25,-0.08725213203579188
7,0.6383948347340307,0.6605279828574669,0.6209369961762435,40.05,-0.17709770929068328
8,0.6506592312743937,0.6726581937674058,0.6364926040001402,35.3,0.08396737476189932
9,0.6572490298034702,0.671680795733358,0.6328584185046681,34.0,-0.13500051821271578
10,0.6567483607028901,0.6733619865331659,0.6385032152937421,35.15,-0.18958255474766095
11,0.6599036676637755,0.6745248066703328,0.6390198002330311,33.8,-0.021256926655769347
12,0.6596494189309582,0.6727355950522914,0.6392466034400947,33.4,0.011981462640687824
13,0.6551234965190302,0.6708996015925897,0.6338933684288993,33.9,-0.06189432411144177
14,0.6556585469973217,0.6729299971675881,0.6413129987576017,34.5,-0.2189755500604709
15,0.662004087589296,0.6844391894351018,0.6473213780526651,33.45,-0.008208984353890022
16,0.6567510587906896,0.6720768051575667,0.6405318137063036,31.5,-0.08041791617870331
17,0.6640852514113794,0.678285005896569,0.6501438110734473,32.25,-0.05619616781671842
18,0.6607080911240182,0.6782130113425261,0.6467508044430267,32.15,-0.1288814847668012
19,0.5897423686602697,0.6114402072535521,0.5736455949943551,37.0,0.036417687435944875
